,"夏普比例
(2015-10 ~ 2017-12)","总收益率
(2015-10 ~ 2017-12)"
林园,0.68,129.01%
新思哲1期,0.59,86.85%
林园3期,0.47,108.70%
长金银信宝2期,0.47,117.43%
恒德中略2号,0.44,46.74%
林园2期,0.43,100.39%
融裕9号奕金安3期,0.43,112.69%
奕金安2期,0.43,106.57%
奕金安一期,0.4,109.40%
景林稳健,0.39,89.78%
长金4号,0.39,146.90%
恒德1期,0.38,40.14%
同威增值3期,0.37,66.64%
鼎润1期,0.35,67.15%
金蕴16期,0.35,72.36%
明河价值一期,0.35,49.22%
天弓2号,0.35,84.40%
同威3期,0.35,72.71%
长金7号,0.35,124.80%
招商汇智之凤翔1号,0.35,85.73%
朴石1期,0.34,52.42%
朴石6期,0.34,54.62%
源乐晟6期,0.32,63.90%
明达2期,0.31,62.73%
德汇成长1期,0.3,83.14%
彤源6号,0.3,63.48%
赤子之心价值,0.29,44.79%
明达6期,0.29,64.17%
源乐晟4期,0.29,58.72%
源乐晟5期,0.29,58.47%
源乐晟7期,0.29,58.19%
执耳医药,0.29,73.56%
中国龙精选,0.29,81.56%
广金成长3期,0.28,57.06%
明达,0.28,72.13%
格雷一期,0.26,52.43%
朴石5期,0.26,43.07%
睿策3期,0.26,40.87%
睿策诺亚对冲,0.26,45.77%
彤源5号,0.26,71.74%
悟空同创量化1期,0.26,34.32%
星石1期,0.26,54.18%
雪球2期,0.26,46.91%
衍航1号,0.26,26.43%
源乐晟8期,0.26,46.40%
证大稳健,0.26,142.99%
赤子之心成长,0.25,43.37%
淡水泉2008,0.25,58.00%
淡水泉专项2期,0.25,57.01%
东方港湾1期,0.25,44.96%
明达4期,0.25,63.23%
朴石7期,0.25,38.40%
睿策1期,0.25,42.05%
睿策量化1期,0.25,39.83%
润晖稳健增值,0.25,43.80%
尚雅8期,0.25,53.04%
星石13期,0.25,52.92%
星石2期,0.25,52.75%
星石3期,0.25,53.00%
星石4期,0.25,52.54%
星石5期,0.25,52.85%
星石6期,0.25,52.15%
星石7期,0.25,52.41%
源乐晟策略创新1期,0.25,52.42%
德丰华1期,0.24,46.84%
格雷二期,0.24,47.56%
睿策2期,0.24,42.98%
尚雅7期,0.24,49.57%
星石16期,0.24,52.42%
星石8期,0.24,48.41%
淡水泉成长七期,0.23,54.25%
淡水泉成长四期,0.23,56.69%
淡水泉成长五期,0.23,55.39%
淡水泉成长一期,0.23,55.66%
淡水泉精选1期,0.23,56.08%
东源1期,0.23,40.83%
宽远价值成长,0.23,35.40%
星石11期,0.23,47.20%
长金9号,0.23,81.16%
淡水泉成长九期,0.22,53.18%
淡水泉成长六期,0.22,52.00%
淡水泉成长三期,0.22,55.41%
鼎萨1期,0.22,64.94%
高信百诺1期,0.22,54.57%
朴石2期,0.22,35.85%
星石10期,0.22,46.83%
星石19期,0.22,52.43%
中欧瑞博6期,0.22,114.78%
鼎泰岩2期,0.21,69.45%
景泰复利回报1期,0.21,29.52%
乾信中国影响力,0.21,33.03%
秋阳1期,0.21,70.35%
世诚投资六号,0.21,31.56%
星石15期,0.21,51.21%
星石9期,0.21,50.64%
远策4期,0.21,31.17%
大朴进取1期,0.2,30.42%
景林丰收,0.2,54.64%
景泰复利回报五期,0.2,30.11%
尚雅6期,0.2,42.81%
稳健增长,0.2,44.02%
星石12期,0.2,47.71%
星石18期,0.2,46.58%
中国龙进取,0.2,27.17%
华骏海石1号,0.19,15.62%
朴石3期,0.19,31.75%
瑞天5期,0.19,36.29%
悟空对冲量化2期,0.19,25.31%
星石14期,0.19,46.87%
