,hushen300,zz500
2015/9/30,3202.95,6123.73
15-Oct,3534.08,7084.97
15-Nov,3566.41,7408.4
15-Dec,3731,7617.69
16-Jan,2946.09,5469.13
16-Feb,2877.47,5350.43
16-Mar,3218.09,6155.81
16-Apr,3156.75,5985.59
16-May,3169.56,5947.32
16-Jun,3153.92,6123.49
16-Jul,3203.93,6202.89
16-Aug,3327.79,6434.21
16-Sep,3253.28,6328.09
16-Oct,3336.28,6452.21
16-Nov,3538,6585.58
16-Dec,3310.08,6263.63
17-Jan,3387.96,6223.71
17-Feb,3452.81,6450.97
17-Mar,3456.05,6401.65
17-Apr,3439.75,6211.86
17-May,3492.88,5824.1
17-Jun,3667,6138.16
17-Jul,3738,6298
17-Aug,3822,6470.43
17-Sep,3837,6603
17-Oct,4007,6560
17-Nov,4006,6263
17-Dec,4031,6251
