"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"25","690号",111.48,"102.8",46.55,76.37
"76","A基金",67.1,"86.01",90.46,92.82
"609","阿米巴成长1号",22.4,"25.81",28.79,34.89
"1191","艾亿新融步步赢量化",-1.89,"-9.41",-9.44,-10.41
"1466","安洪稳步",-34.83,"-30.98",-27.93,-27.13
"220","安信紫星成长",44.4,"46.77",51.55,59.82
"271","安信尊享成长",40.23,"39.28",34.99,35.83
"1492","安盈1号",-87.3,"-82.28",-82.3,-82.03
"1154","安州价值优选1号",0.36,"12.68",26.11,33.01
"1459","巴氏财团一号",-29.2,"-16.01",-15.33,-23.45
"381","巴沃成长一号",32.9,"41.54",51.39,61.43
"1413","宝晟1期",-17.62,"-5.29",-6.59,0.52
"1307","宝晟2期",-8.24,"2.11",-0.14,7.92
"1323","宝时正气1期",-9.06,"13.47",26.74,28.63
"774","保银量化石榴",16.23,"17.96",19.34,20.61
"86","犇牛1期",64.67,"73.9",76.33,80.36
"12","毕咸01期",152.93,"197.32",172.45,185.71
"356","冰剑10号",34.53,"46.76",43.24,36.78
"225","冰剑1号",43.88,"53.86",51.4,48.68
"197","冰剑2号",48.11,"60.81",52.5,50.94
"263","冰剑5号",40.71,"53.05",49.05,47.82
"240","冰剑6号",42.65,"53.18",49.23,47.83
"217","冰剑7号",44.77,"54.3",56.93,48.71
"212","冰冷1期",46.05,"52.09",52.27,62.25
"248","博道精选1期",41.88,"54.84",67.68,72.38
"122","博道精选5期",58.32,"64.46",85.81,100.69
"585","博道精选7期",23.27,"34.98",44.44,49.86
"249","博道精选A号",41.87,"54.83",67.67,72.37
"751","博复达投资",17.14,"35.32",42.57,45.93
"1017","博观1期",6.14,"21.76",31.18,33.93
"854","博鸿成长1号",12.56,"27.13",30.95,33.76
"1394","博纳1期",-13.36,"8.72",21.89,28.5
"890","博润价值成长",11.43,"21.11",19.67,14.54
"322","博颐精选",36.34,"55.58",50.15,58.22
"336","博颐精选2期",35.41,"54.15",48.86,56.69
"422","博颐精选3期",30.2,"48.8",43.9,51.7
"345","博颐稳健1期",34.87,"53.7",48.34,56.04
"119","搏股通金2号",58.6,"75.63",75.3,77.72
"1234","财富(绿宝石)",-3.65,"8.06",6.91,21.52
"69","财通财丰1号",69.96,"69.74",82.94,39.02
"1147","彩瑞3期",0.64,"12.63",17.18,24.81
"1300","彩瑞五期",-7.89,"1.3",4.37,11.76
"914","藏宝图基金1号",10.37,"17.28",12.91,24.06
"1097","常春藤稳健成长",2.9,"12.67",13.57,20.78
"1319","常阳1号",-8.72,"-2.26",0.37,6.21
"512","潮金1号",27.79,"46.8",56.69,56.66
"577","辰龙二期",23.73,"14.15",16.1,24.1
"713","成都君海",18.4,"23.2",20.1,20.3
"479","成长组合(鸿道)",27.69,"30.4",33.03,30.82
"499","呈瑞1期",26.42,"34.18",36.43,39.19
"453","呈瑞2期",28.84,"38.21",36.94,39.69
"404","呈瑞6期",31.52,"41.98",47.79,48.1
"63","诚盛1期",73.05,"78.46",77.23,79.39
