"","产品简称","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12"
"434","7号",2.99,2.36,-6.26,3.2539,-3.9874,9.7187,7.2075,8.0647,6.0981,-1.6978,-1.3752,-5.601
"570","91金融东方港湾价值1号",2.4253,6.4204,11.4521,17.7216,26.668,32.5752,35.5037,36.1969,36.8877,64.8335,61.1578,67.3101
"3780","9号",-2,-1.64,-7.78,0.86,-2.66,-1.56,-2.43,0.46,1.79,2.77,2.62,0.94
"4225","A基金",-3.0332,1.0837,2.1785,2.3126,-13.3225,-7.7868,-8.4627,0.1452,9.1498,6.7423,5.3123,7.0327
"298","阿甘1号",3.7032,12.2155,18.4133,16.2145,13.8228,28.8415,33.8434,64.125,52.3595,57.7858,65.3723,62.5177
"4013","艾叶瓦洛兰",-2.4358,1.58,1.3167,-3.16,-11.3232,-4.1475,-3.16,2.2383,6.3858,8.4266,4.1025,4.9673
"381","爱迪生",3.2641,6.6271,8.7043,6.6271,-0.0989,6.3304,0.6924,1.1869,4.8467,11.4792,7.1009,8.1113
"1137","安洪精选",0.9688,2.4173,7.0216,2.7722,-2.5036,-3.4436,-2.7338,-2.1679,0.1151,-3.2326,-6.6283,-7.3573
"1945","安民2号",0.1111,0.4444,0.3333,0.3333,0,11.2,-0.2222,0.4444,0,4.5556,1.8889,-0.6667
"2932","安晟",-0.6663,0.4806,3.8012,10.7701,13.3588,22.0754,25.6363,26.379,28.509,41.2889,53.4025,43.0038
"3586","安天诚汇安1号",-1.6072,4.6994,-3.7941,-18.6858,-25.1551,-25.3077,-25.1755,-11.4536,-11.3112,-26.5894,-28.4305,-32.0517
"3015","安天诚五号",-0.7716,0.0465,0.1023,-2.9655,-2.8911,-2.7982,-2.7796,-3.0771,-5.4104,-5.5406,-6.2285,-6.9071
"4386","安信乾盛智诚9期",-3.6364,-1.9913,-6.3203,-8.9177,-8.658,0.5195,-2.2511,-1.9048,-0.0866,1.9048,0.4329,3.8961
"4014","安易持兴国2号",-2.4432,1.3018,4.2978,2.1578,-3.1476,6.2327,13.6692,20.8382,22.782,30.9229,33.0004,35.2207
"2750","安远一号",-0.4566,0.7306,-1.4612,-1.7352,-2.5571,-0.7306,3.0137,5.0228,4.1096,1.6438,2.1005,0.6393
"4937","奥索乾元一期",-7.3569,-1.3624,-1.7257,-1.9074,-4.9046,-1.1807,-0.1817,0.9083,1.5441,3.1789,4.723,3.7239
"1381","奥索元亨一期",0.6279,-4.0031,-5.0235,-5.573,-10.5181,-9.1052,-9.6546,-8.0063,-6.9074,-9.1052,-9.5761,-9.1837
"4853","八零后一期",-6.4949,-5.1439,-2.8266,-3.3461,-3.6787,-1.9952,-1.6107,3.4812,4.6451,4.2502,22.4462,15.7643
"2242","八阳6号",-0.0416,0.2219,17.1127,-1.0539,-17.0573,-24.3794,-6.9616,14.0896,27.9157,14.1867,7.6272,23.1036
"4482","巴菲特潜力2期",-4.0252,1.017,-11.2162,-14.783,-11.7462,-12.2189,-19.0445,-14.1599,-8.8884,-15.0623,-17.6551,-23.0125
"4576","巴菲特潜力3期",-4.4873,1.5533,-12.4393,-16.4152,-12.7141,-13.1808,-20.8642,-15.0345,-8.8213,-15.8783,-18.4927,-24.3096
"4602","巴菲特潜力5期",-4.6683,1.243,-13.0149,-17.1484,-13.5786,-14.1133,-22.0624,-16.3246,-10.1532,-17.358,-20.1474,-26.1671
"4751","巴加索睿赢1号",-5.8565,0.119,-4.2277,-12.8111,-22.9228,-20.6076,-22.3371,-18.6036,-15.3917,-23.9568,-29.9689,-26.336
"720","巴克夏月月利1号",1.9761,3.0667,5.1831,3.1315,11.4461,33.1788,32.1617,26.5139,18.8917,25.4489,19.7054,39.6557
"1741","霸王龙1号",0.257,1.0505,0.8158,0.5811,0.6929,1.3187,1.5534,3.1962,4.0121,3.2186,2.1793,1.5199
"2888","霸王龙2号",-0.6106,8.6723,1.0349,-6.0644,-7.1199,-6.8819,-3.1978,6.7784,4.5328,-6.2506,-10.1107,-10.7524
"3126","白云成长一号",-0.9083,1.5441,6.4487,0.9991,-8.356,-0.1817,2.9064,12.8974,16.9846,20.1635,18.3203,18.5577
"426","百泉汇瑾一号",3.0183,5.2658,3.3894,-0.644,-6.8414,-3.5305,-2.4298,0.7924,2.1178,1.1054,-3.6705,-3.0114
"1648","百泉进取一号",0.349,3.6221,1.5636,-1.1086,-6.9394,-3.6399,-2.2675,1.0149,2.2817,1.5317,-3.3785,-3.0385
"4378","百善成长1期",-3.6192,-1.2693,-2.6675,-4.8786,-12.365,-9.6978,-12.1272,-12.3057,-12.7122,-13.9716,-21.7256,-24.8689
"1797","百因素投资策略1期",0.2075,0.4149,-0.6224,0.4149,-7.5726,-4.3568,12.5519,12.8631,9.2324,6.2241,2.8008,3.0083
"5077","邦石1期",-11.7021,-15.4255,-17.8723,-24.2553,-33.617,-30,-35.8511,-34.4681,-29.5745,-40.7447,-37.0213,-42.6596
"1405","宝慈国企改革1期",0.5999,2.5087,3.2286,3.0759,3.1523,9.1405,4.1994,4.6248,6.9045,13.2962,10.2421,14.9542
"1225","宝慈国企改革六期",0.8299,3.0083,4.8755,5.1867,5.9129,10.7884,7.3651,7.9876,10.5809,16.1826,3.0083,7.7801
"4906","宝德源1期",-7.0682,-5.1808,-6.8183,0.9623,0.4072,0.287,-1.5633,-10.4724,-16.5137,-18.4102,-17.9847,-18.068
"3467","宝丰量化弈量一号",-1.4097,0.5905,-0.8382,-1.5906,-7.0388,-1.8573,-2.9812,-1.4763,0.7429,2.2097,0.4096,-0.6572
"4139","宝润达价值成长壹号",-2.7705,6.4935,4.6753,-4.4156,2.1645,9.264,15.9307,16.6233,16.0172,18.6146,17.1428,14.7187
