产品简称,当年收益%
蓝海一号,149.9
国创基金,115.22
天玑财富4号,72.5
建泓盈富二号,66.1
中信中硕基金,45.19
海中湾祥泰,44.04
贝莱德2号,42.79
磐石2期,40.5
长江资管瀚丰1号,40.11
陶朱创富,38.9
海中湾(齐鲁)3号,34.08
恒昌诚意一号,34.08
鑫领慧1号,33.52
金诚立达海中湾8号,33.45
财富中诚冠一,33.2
杜兹三号,32.5
锦泽一号,31.36
财富中诚旷怡,29.9
飞旋成长五期,29.9
默名十一期,29.49
九铭恒升,27.97
海中湾2号,27.92
金蕴68期,27.79
金田龙盛,27.73
洪昌1号,26.5
八阳2号,26.23
格雷成长3号,26.01
海中湾(中信)基金1号,25.95
稳健增长,25.47
丰年红利1号,25.2
文鑫清华金20,24.52
珺容灵活进取一期,23.1
广发资管海大投资3号,22.34
睿涛致盈一号,22.23
源沣进取2号,22.11
蓝海七号,21.96
晟维价值,21.86
尚谦1号,21.8
旭诺成长对冲3号,21.7
鑫增长1号,21.55
默驰对冲1号,21.09
聚睿2号,21
盘通1号,20.93
正丰阳一金顺投1号,20.36
英卓量化期旺精选,20.12
至秦成长1号,20.1
安盈1号,19.71
旱资舟1期,19.7
德高1号,19.59
星火燎原2号,19.3
聚星05号,18.97
一二资本一期,18.9
领新佰顺资产1号,18.76
优扬1号,18.75
伯洋六期,18.65
默名融智阳光12期,18.37
私募学院菁英163号,18.21
雅柏宝量化四号,17.9
冠丰糖糖1号,17.7
福建滚雪球同驰2号,17
嘉得趋势策略二号,17
逸杉2期,16.94
润樽沪港通基金,16.71
海顺交易宝一号,16.6
浦江之星168号-佳友1号,16.6
盛运德诚趋势2号,16.48
海中湾腾实,16.48
金牛一号,16.11
智博方略2期(续),15.78
金浪一号,15.39
潮金创投1号,15.26
易安菁英121号,15.05
邦得2号,15
牛行二号,14.88
长江资管民生和惠6号,14.72
易凡3号,14.5
和棋中国量化二号,14.39
鼎铭量化策略1号基金,13.95
恒赢稳健1号,13.89
安盈鑫享3号,13.86
偏锋2期,13.67
添华1号,13.5
伯洋三期,13.42
红角一号,13.41
千波小盘1号,13.4
东方老虎汇1号,13.3
弘尚资产灵活配置,13.13
财富森林慧鑫1号,13.1
卿云2期,13
渤海分级汇鑫6号,12.96
纵贯精选成长二期,12.86
浅湖2号,12.86
中金量化经典配置1号,12.8
高梧1号,12.77
海善尊享1号,12.69
大数据稳健成长1号,12.59
海中湾开泰6号,12.24
汇泽盛1号,12.11
雅柏宝量化三号,12.1
无量1期,12.1
义旺赤兔1号,12
天衍壹期,12
波若精选1期,11.94
宝润达价值成长壹号,11.9
承源9号,11.65
胜达成长2期,11.59
浅湖1号,11.51
福建滚雪球千里马1号,11.5
征金资本股票优选一期,11.44
融璇趋势1号,11.27
国投大盈一号,11.19
福建滚雪球11号倍增,11.17
道合2号,11.17
量道开普勒1号,11.13
金沙海枫,11.1
智汇树稳健3号,11.1
承源09号,10.97
逸杉1期,10.93
大隐价值一号,10.86
金连接滚雪球12号,10.8
华信资产价值二期,10.8
天利进取1号,10.78
牛行一号,10.74
黑天鹅猎户座2号,10.69
财富骐骥定增28号,10.58
云信私募工场深积稳健..,10.56
海中湾睿泰,10.55
天谋富龙1期,10.5
太平洋证券红珊瑚1号,10.5
睿洪一号,10.24
藏宝图京都1号,10.11
金中和西鼎,10.05
中金-云信私募工场金..,10.03
全代码量化,10
亿鑫3期,10
常州本正博赢系列1期,9.92
广发资管巴克莱希勒美..,9.85
汇创稳健1号,9.84
乾元泰和复利3号,9.8
艺蓝一期,9.8
鸿逸泰瑞一号,9.75
伯洋一期,9.74
道林资产管理一号,9.7
正丰阳1号,9.56
格雷一期,9.54
来兴3号,9.5
盛运德诚趋势5号,9.42
